epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.0877,1.3725,5.06329,1.677,0,0,0,0,1.12305,5.536,1.83082,5.9e-06,5.9e-06,5.9e-06
2,31.0611,1.38826,5.03409,1.69968,0,0,0,0,1.13793,5.54771,1.84534,1.2723e-05,1.2723e-05,1.2723e-05
3,45.5815,1.39659,4.99433,1.76819,0,0,0,0,1.14203,5.52809,1.83331,1.92656e-05,1.92656e-05,1.92656e-05
4,59.3278,1.28135,4.89388,1.64724,0,0,0,0,1.13389,5.53159,1.81142,2.55279e-05,2.55279e-05,2.55279e-05
5,72.9068,1.41173,4.89506,1.71902,0,0,0,0,1.10986,5.53114,1.81989,3.15098e-05,3.15098e-05,3.15098e-05
6,86.8713,1.30123,4.7394,1.60677,0,0,0,0,1.09151,5.51325,1.83617,3.72113e-05,3.72113e-05,3.72113e-05
7,100.441,1.29147,4.56729,1.61334,0,0,0,0,1.1142,5.50567,1.86389,4.26325e-05,4.26325e-05,4.26325e-05
8,114.124,1.30985,4.45356,1.62175,0,0,0,0,1.15885,5.46423,1.90108,4.77732e-05,4.77732e-05,4.77732e-05
9,128.134,1.31335,4.20824,1.64938,0,0,0,0,1.239,5.35297,1.95222,5.26337e-05,5.26337e-05,5.26337e-05
10,141.982,1.24997,4.01608,1.58355,1,0.16667,0.58332,0.40962,1.2712,5.21631,1.96362,5.72137e-05,5.72137e-05,5.72137e-05
11,155.911,1.27086,3.8659,1.64449,0.9,0.375,0.65223,0.45557,1.30249,5.09857,1.94917,6.15134e-05,6.15134e-05,6.15134e-05
12,170.07,1.36828,3.74985,1.71202,0.59091,0.54167,0.61911,0.41161,1.30761,4.89688,1.92893,6.55327e-05,6.55327e-05,6.55327e-05
13,184.228,1.46645,3.52879,1.74154,0.4,0.58333,0.5882,0.3841,1.31128,4.67174,1.92994,6.92717e-05,6.92717e-05,6.92717e-05
14,198.132,1.44762,3.31418,1.75268,0.4,0.75,0.63981,0.41086,1.34027,4.50051,1.91971,7.27302e-05,7.27302e-05,7.27302e-05
15,212.628,1.27068,3.12227,1.63394,0.48103,0.5,0.62539,0.40883,1.36139,4.4039,1.94922,7.59085e-05,7.59085e-05,7.59085e-05
16,226.266,1.41707,2.93587,1.77851,0.90841,0.41356,0.66318,0.40736,1.45994,4.20324,2.04221,7.88063e-05,7.88063e-05,7.88063e-05
