epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,197.186,1.1315,2.47757,1.30206,0.00915,0.65451,0.54194,0.35253,0.92785,3.09177,1.26339,0.00044299,0.00044299,0.00044299
2,381.761,1.29963,2.0498,1.44147,0.79564,0.44221,0.48811,0.29668,1.18991,2.66581,1.54621,0.000882445,0.000882445,0.000882445
3,564.771,1.39002,2.01199,1.48133,0.55504,0.47866,0.38502,0.18314,1.61381,5.05254,2.25347,0.00130379,0.00130379,0.00130379
