epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.2603,1.23061,2.52368,1.41892,0.97602,0.03175,0.46409,0.30816,0.9448,2.64178,1.28087,0.00046412,0.00046412,0.00046412
2,43.4764,1.354,2.02147,1.49504,0.69838,0.40476,0.4154,0.24082,1.28921,1.98663,1.69112,0.000921832,0.000921832,0.000921832
3,58.1045,1.43334,2.01978,1.56419,0.69095,0.27505,0.27478,0.14542,1.62911,2.8866,2.10161,0.00136068,0.00136068,0.00136068
4,75.2806,1.4546,1.96107,1.54772,0.79375,0.39092,0.43976,0.21238,1.62346,3.41974,2.0296,0.00134412,0.00134412,0.00134412
5,90.6425,1.47658,1.88081,1.57352,0.90123,0.40501,0.49976,0.27913,1.43403,1.53828,1.74978,0.00131582,0.00131582,0.00131582
6,105.241,1.39986,1.80406,1.57602,0.93766,0.4766,0.56071,0.30848,1.38587,1.38986,1.72822,0.00128753,0.00128753,0.00128753
7,121.46,1.35505,1.6962,1.52231,0.85475,0.47174,0.51362,0.31171,1.24106,1.69005,1.54435,0.00125923,0.00125923,0.00125923
8,137.6,1.40617,1.66852,1.52888,0.78384,0.5001,0.49113,0.30084,1.24072,1.64568,1.5334,0.00123094,0.00123094,0.00123094
9,152.532,1.3612,1.6478,1.5318,0.83341,0.51222,0.53448,0.32045,1.34664,1.25358,1.65949,0.00120265,0.00120265,0.00120265
10,168.751,1.33905,1.57491,1.49159,0.90668,0.46373,0.54184,0.32163,1.31218,1.62024,1.57474,0.00117435,0.00117435,0.00117435
11,182.534,1.29803,1.50361,1.46282,0.92981,0.54489,0.58954,0.33249,1.28517,1.34691,1.57062,0.00114606,0.00114606,0.00114606
12,198.783,1.26941,1.46542,1.44673,0.8796,0.51009,0.551,0.3457,1.18719,1.35446,1.50256,0.00111776,0.00111776,0.00111776
13,213.843,1.31288,1.44985,1.47738,0.8191,0.49826,0.53007,0.31995,1.30804,1.1551,1.57961,0.00108947,0.00108947,0.00108947
14,229.316,1.24041,1.37687,1.45787,0.89563,0.50575,0.55932,0.36676,1.1616,1.28998,1.48217,0.00106118,0.00106118,0.00106118
15,244.975,1.29581,1.43463,1.47616,0.92203,0.54799,0.59992,0.35095,1.20643,1.05455,1.49065,0.00103288,0.00103288,0.00103288
16,260.69,1.25643,1.37348,1.42509,0.87538,0.57217,0.59306,0.36475,1.18068,1.07535,1.45183,0.00100459,0.00100459,0.00100459
17,275.561,1.27807,1.35207,1.44159,0.91686,0.56027,0.60286,0.35718,1.18491,1.00584,1.44801,0.000976293,0.000976293,0.000976293
