epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
32,508.346,1.08601,1.06731,1.3294,0.9035,0.58603,0.60844,0.43685,0.91774,0.7987,1.27518,0.00055188,0.00055188,0.00055188
33,521.799,1.05037,0.98839,1.31199,0.90979,0.58613,0.61223,0.43806,0.91359,0.78261,1.24633,0.000523586,0.000523586,0.000523586
34,538.983,1.0359,0.99384,1.29128,0.92516,0.58769,0.61268,0.43357,0.95694,0.79058,1.27794,0.000495291,0.000495291,0.000495291
35,554.643,1.00291,0.94388,1.28315,0.92073,0.58924,0.61755,0.43802,0.90023,0.77343,1.26135,0.000466997,0.000466997,0.000466997
36,568.173,1.01522,0.96509,1.29824,0.92195,0.58284,0.61982,0.46156,0.89194,0.77071,1.2435,0.000438703,0.000438703,0.000438703
37,584.107,1.01416,0.9407,1.29911,0.61962,0.55805,0.6141,0.44978,0.89284,0.77936,1.24954,0.000410409,0.000410409,0.000410409
38,600.637,0.99072,0.93084,1.25787,0.60839,0.58011,0.61297,0.43137,0.92318,0.77526,1.26534,0.000382115,0.000382115,0.000382115
39,616.017,0.96826,0.89261,1.24507,0.60602,0.57859,0.61804,0.43352,0.90272,0.73712,1.25691,0.00035382,0.00035382,0.00035382
40,630.981,0.96077,0.89858,1.24613,0.58762,0.58175,0.60871,0.43488,0.93305,0.70354,1.27516,0.000325526,0.000325526,0.000325526
41,652.906,0.90279,0.82815,1.23329,0.94852,0.54915,0.60437,0.44212,0.90132,0.80014,1.23876,0.000297232,0.000297232,0.000297232
42,667.086,0.85951,0.77194,1.21096,0.91452,0.57632,0.61911,0.44399,0.88306,0.70569,1.23846,0.000268938,0.000268938,0.000268938
43,682.956,0.84609,0.73999,1.20234,0.95393,0.57044,0.6065,0.43974,0.86991,0.7024,1.21947,0.000240644,0.000240644,0.000240644
44,698.389,0.85873,0.73612,1.22245,0.93141,0.58167,0.61194,0.45031,0.85777,0.71626,1.22161,0.000212349,0.000212349,0.000212349
45,711.635,0.82809,0.68723,1.19179,0.95646,0.56171,0.61799,0.45546,0.87478,0.68393,1.21159,0.000184055,0.000184055,0.000184055
46,729.667,0.79918,0.67494,1.1524,0.96565,0.55871,0.61933,0.46099,0.83252,0.69838,1.18251,0.000155761,0.000155761,0.000155761
47,745.644,0.80321,0.68198,1.16543,0.94252,0.57316,0.62082,0.45783,0.80611,0.66814,1.18626,0.000127467,0.000127467,0.000127467
48,759.898,0.76922,0.65456,1.15072,0.93633,0.58526,0.62213,0.46174,0.82395,0.65429,1.18219,9.91726e-05,9.91726e-05,9.91726e-05
49,775.481,0.76416,0.62273,1.13885,0.95119,0.5687,0.61887,0.45255,0.8197,0.66428,1.185,7.08784e-05,7.08784e-05,7.08784e-05
50,792.152,0.74235,0.61101,1.11317,0.95239,0.58029,0.62098,0.45609,0.8172,0.65156,1.19729,4.25842e-05,4.25842e-05,4.25842e-05
