epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.2327,1.20741,2.93654,1.43466,0.00468,0.65451,0.5045,0.30851,0.95299,2.84692,1.22728,0.00046412,0.00046412,0.00046412
2,44.5743,1.47794,2.25627,1.6013,0.87252,0.11008,0.28816,0.13023,1.32252,2.79851,1.74957,0.000921832,0.000921832,0.000921832
3,58.3481,1.43379,2.1646,1.59772,0.52375,0.41195,0.24388,0.11338,1.48833,2.63768,1.86619,0.00136068,0.00136068,0.00136068
4,74.7667,1.47459,2.08394,1.6009,0.68243,0.29861,0.32093,0.18787,1.73898,2.29186,2.10772,0.00134412,0.00134412,0.00134412
5,89.2898,1.50533,2.01477,1.62632,0.66227,0.28819,0.25658,0.14275,1.71047,2.80173,2.03627,0.00131582,0.00131582,0.00131582
6,104.593,1.45677,1.96437,1.62144,0.72402,0.34747,0.35307,0.20427,1.67334,2.57997,1.99163,0.00128753,0.00128753,0.00128753
7,120.119,1.40384,1.84724,1.55812,0.8808,0.47694,0.54256,0.31774,1.2302,1.56201,1.57317,0.00125923,0.00125923,0.00125923
8,137.364,1.46009,1.77334,1.57568,0.8707,0.48264,0.51018,0.31415,1.29114,1.46576,1.57948,0.00123094,0.00123094,0.00123094
9,151.875,1.38234,1.69391,1.5605,0.86236,0.50773,0.54973,0.32906,1.39773,1.28516,1.66581,0.00120265,0.00120265,0.00120265
10,168.518,1.38472,1.62249,1.54028,0.76551,0.45539,0.49661,0.28219,1.43344,1.74373,1.68904,0.00117435,0.00117435,0.00117435
11,181.408,1.30678,1.54929,1.5008,0.87295,0.55283,0.56916,0.34907,1.20381,1.17617,1.49886,0.00114606,0.00114606,0.00114606
12,198.036,1.33222,1.55579,1.52107,0.80158,0.46346,0.48209,0.29832,1.34399,1.44715,1.62265,0.00111776,0.00111776,0.00111776
13,213.719,1.31941,1.49324,1.4975,0.93294,0.47922,0.55211,0.33426,1.35185,1.10633,1.65164,0.00108947,0.00108947,0.00108947
14,228.78,1.26081,1.44014,1.48128,0.92061,0.55407,0.60114,0.36376,1.18111,1.03173,1.49602,0.00106118,0.00106118,0.00106118
15,244.069,1.32089,1.4708,1.50528,0.89915,0.54266,0.56683,0.3337,1.29559,1.14828,1.53292,0.00103288,0.00103288,0.00103288
16,259.054,1.3206,1.45914,1.46615,0.90538,0.5177,0.57078,0.34526,1.24111,1.13202,1.47807,0.00100459,0.00100459,0.00100459
17,274.215,1.30333,1.42354,1.47574,0.87763,0.5124,0.56922,0.36296,1.21689,1.04294,1.4768,0.000976293,0.000976293,0.000976293
18,290.382,1.21784,1.31419,1.42112,0.85186,0.48411,0.53354,0.35378,1.15268,1.05074,1.49711,0.000947999,0.000947999,0.000947999
19,304.931,1.24687,1.32027,1.44817,0.88516,0.51534,0.55052,0.35529,1.12779,0.9926,1.45132,0.000919704,0.000919704,0.000919704
20,319.893,1.2102,1.29766,1.42976,0.91466,0.55219,0.59688,0.39191,1.11545,1.00223,1.47474,0.00089141,0.00089141,0.00089141
21,337.438,1.2192,1.26996,1.41749,0.9155,0.53522,0.58506,0.38021,1.11122,0.95027,1.42442,0.000863116,0.000863116,0.000863116
22,353.093,1.24595,1.27546,1.42687,0.93311,0.56972,0.61395,0.38975,1.07905,0.88596,1.41975,0.000834822,0.000834822,0.000834822
23,368.912,1.18799,1.25291,1.41593,0.90963,0.5766,0.60715,0.39871,1.0644,0.86873,1.36437,0.000806528,0.000806528,0.000806528
24,382.026,1.17926,1.20304,1.40556,0.91099,0.57678,0.60634,0.40715,1.0274,0.90487,1.34644,0.000778233,0.000778233,0.000778233
25,398.715,1.15259,1.15366,1.38186,0.96855,0.57654,0.63466,0.42455,0.98971,0.79276,1.30892,0.000749939,0.000749939,0.000749939
26,413.653,1.14574,1.14809,1.37549,0.87784,0.6064,0.60697,0.41386,0.98406,0.83163,1.30401,0.000721645,0.000721645,0.000721645
27,430.12,1.10857,1.09696,1.34432,0.92405,0.55152,0.58026,0.41451,0.95977,0.76811,1.2954,0.000693351,0.000693351,0.000693351
28,445.106,1.1013,1.07074,1.32949,0.92047,0.56725,0.61174,0.4163,1.01321,0.81228,1.36755,0.000665057,0.000665057,0.000665057
29,458.206,1.12349,1.09234,1.34191,0.91935,0.59767,0.621,0.42959,0.96159,0.78449,1.29358,0.000636762,0.000636762,0.000636762
30,475.3,1.08516,1.06162,1.3385,0.92406,0.58358,0.61561,0.43816,0.95138,0.76611,1.26312,0.000608468,0.000608468,0.000608468
31,489.785,1.07965,1.04417,1.31657,0.91223,0.54315,0.59034,0.41149,0.96592,0.81542,1.2885,0.000580174,0.000580174,0.000580174
