epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.3703,1.36631,2.61331,1.65479,0.00365,0.95833,0.6004,0.28883,1.20128,3.32976,1.93107,0.0001,0.0001,0.0001
2,27.6724,1.34855,2.16989,1.64671,0.00349,0.91667,0.65178,0.33446,1.34291,3.30005,2.18047,0.000215644,0.000215644,0.000215644
3,40.5634,1.40157,1.89782,1.69446,0.00365,0.95833,0.44631,0.21664,1.71056,3.53674,2.57319,0.000326536,0.000326536,0.000326536
4,53.519,1.32796,1.78483,1.646,0.00365,0.95833,0.55288,0.24853,1.63516,3.29198,2.53353,0.000432676,0.000432676,0.000432676
5,66.6547,1.37298,1.77928,1.61078,0.77361,0.125,0.51303,0.23619,1.56415,3.10826,2.34726,0.000534064,0.000534064,0.000534064
6,79.5744,1.32299,1.69539,1.59745,0.94511,0.29167,0.56997,0.24202,1.75397,3.01628,2.84683,0.0006307,0.0006307,0.0006307
7,92.5511,1.30102,1.59238,1.57032,0.43476,0.33333,0.4428,0.18833,1.73641,3.02424,2.91551,0.000722584,0.000722584,0.000722584
8,105.329,1.3242,1.70277,1.57033,0.33487,0.25,0.24246,0.1045,2.08664,3.37023,3.61184,0.000809716,0.000809716,0.000809716
9,118.463,1.33564,1.60022,1.6314,0.3278,0.375,0.3501,0.09642,2.26235,3.58537,3.30368,0.000892096,0.000892096,0.000892096
10,131.473,1.27714,1.54512,1.55481,0.59389,0.29167,0.35349,0.10635,2.27521,3.4874,3.17704,0.000969724,0.000969724,0.000969724
11,144.109,1.27338,1.57607,1.60111,0.49606,0.41667,0.42448,0.20425,1.85791,3.06551,2.97416,0.0010426,0.0010426,0.0010426
12,156.965,1.31794,1.53585,1.62201,0.54266,0.5,0.54857,0.23779,1.87579,3.13684,3.09382,0.00111072,0.00111072,0.00111072
13,169.489,1.41536,1.57542,1.60672,0.27425,0.54167,0.31923,0.09965,1.98756,3.11917,3.07344,0.0011741,0.0011741,0.0011741
14,182.352,1.40738,1.58616,1.65393,0.61749,0.5,0.53919,0.20153,2.03687,3.69151,3.32207,0.00123272,0.00123272,0.00123272
15,195.414,1.27218,1.45952,1.56715,0.82584,0.39607,0.54377,0.1776,2.21653,4.23734,3.65641,0.00128658,0.00128658,0.00128658
16,208.475,1.38546,1.50138,1.66962,0.38095,0.625,0.39689,0.15967,2.2033,3.27709,3.56165,0.0013357,0.0013357,0.0013357
17,221.184,1.31596,1.39546,1.60858,0.32009,0.58333,0.35791,0.16007,2.17788,3.3043,3.35478,0.0013664,0.0013664,0.0013664
18,234.055,1.35182,1.44638,1.61832,0.67818,0.52735,0.58641,0.28095,2.07425,2.78533,3.20991,0.0013268,0.0013268,0.0013268
19,246.883,1.35283,1.41539,1.62036,0.74668,0.58333,0.59207,0.21358,2.11377,2.6281,3.18892,0.0012872,0.0012872,0.0012872
20,259.4,1.28204,1.34263,1.5175,0.39003,0.53307,0.44516,0.15113,2.3586,3.01831,3.28492,0.0012476,0.0012476,0.0012476
21,272.091,1.31631,1.33708,1.506,0.57479,0.50719,0.53939,0.18788,2.21228,2.92451,3.07041,0.001208,0.001208,0.001208
22,284.451,1.29573,1.31638,1.55688,0.60926,0.45833,0.51756,0.24738,2.17309,3.0801,3.04441,0.0011684,0.0011684,0.0011684
23,296.693,1.20908,1.30573,1.5134,0.46643,0.625,0.52321,0.24667,2.05577,2.82238,2.94423,0.0011288,0.0011288,0.0011288
24,309.423,1.31478,1.38806,1.58503,0.52014,0.5,0.42818,0.1932,2.28971,2.48155,3.15998,0.0010892,0.0010892,0.0010892
25,321.771,1.24069,1.30025,1.54827,0.61063,0.5,0.49219,0.16301,2.39288,2.60973,3.06125,0.0010496,0.0010496,0.0010496
26,334.283,1.27749,1.3128,1.58435,0.60715,0.45833,0.46809,0.23481,2.19585,2.57786,2.96321,0.00101,0.00101,0.00101
27,346.612,1.18592,1.17739,1.44139,0.85563,0.45833,0.57313,0.27637,2.01863,2.34645,2.94824,0.0009704,0.0009704,0.0009704
28,358.984,1.21552,1.18616,1.53081,0.75768,0.66667,0.67693,0.2766,2.05606,2.33563,3.13351,0.0009308,0.0009308,0.0009308
29,371.33,1.25561,1.26846,1.5246,0.72495,0.66667,0.6458,0.26343,2.09098,2.29422,3.05504,0.0008912,0.0008912,0.0008912
30,383.56,1.234,1.20618,1.494,0.614,0.58333,0.53126,0.20173,2.19632,2.45463,2.86512,0.0008516,0.0008516,0.0008516
31,395.902,1.20781,1.22202,1.49288,0.90529,0.625,0.70975,0.2541,2.30161,2.3247,2.87098,0.000812,0.000812,0.000812
32,408.365,1.18599,1.14249,1.45488,0.63894,0.45833,0.51849,0.21057,2.38586,2.55613,3.13412,0.0007724,0.0007724,0.0007724
33,420.767,1.15462,1.10229,1.41824,0.44679,0.41667,0.37633,0.14202,2.44527,2.95512,3.16549,0.0007328,0.0007328,0.0007328
34,433.196,1.20499,1.12771,1.45,0.58365,0.45833,0.49621,0.23582,2.24058,3.04114,2.92692,0.0006932,0.0006932,0.0006932
35,445.607,1.17062,1.1061,1.46511,0.81842,0.45833,0.56199,0.25515,2.14474,2.77116,2.83457,0.0006536,0.0006536,0.0006536
36,458.303,1.17818,1.12576,1.46816,0.72637,0.58333,0.63675,0.31037,2.00059,2.31942,2.73986,0.000614,0.000614,0.000614
37,470.494,1.08093,1.05791,1.39546,0.77216,0.56543,0.64315,0.28585,2.06326,2.17553,2.85272,0.0005744,0.0005744,0.0005744
38,483.072,1.07255,1.02441,1.35686,0.65058,0.625,0.58698,0.28357,1.90396,2.10409,2.68994,0.0005348,0.0005348,0.0005348
39,495.479,1.09613,1.02517,1.42331,0.6605,0.58333,0.59967,0.29078,1.98622,2.03957,2.69934,0.0004952,0.0004952,0.0004952
40,507.92,0.99695,0.97765,1.30963,0.58576,0.54167,0.58409,0.31568,1.94017,1.9865,2.53869,0.0004556,0.0004556,0.0004556
41,519.928,1.0251,1.32472,1.46036,0.74415,0.60646,0.67407,0.33774,1.92335,1.93553,2.54744,0.000416,0.000416,0.000416
42,531.939,0.94655,1.10207,1.38013,0.72149,0.58333,0.56307,0.22974,2.25781,2.08108,3.33305,0.0003764,0.0003764,0.0003764
43,544.141,0.85809,1.08907,1.37242,0.63488,0.5,0.4359,0.18964,2.42912,2.18485,3.62053,0.0003368,0.0003368,0.0003368
44,556.359,0.86935,0.98826,1.36486,0.64621,0.5,0.42719,0.20278,2.35316,2.14374,3.46017,0.0002972,0.0002972,0.0002972
45,568.593,0.82638,0.92533,1.30044,0.6449,0.45426,0.44058,0.20126,2.21424,2.22756,3.21996,0.0002576,0.0002576,0.0002576
46,580.523,0.86186,1.02561,1.32904,0.67009,0.5,0.51313,0.24703,1.89243,2.22412,2.69382,0.000218,0.000218,0.000218
47,592.938,0.87693,0.93594,1.33899,0.78584,0.5,0.5672,0.26863,1.90575,2.08874,2.6487,0.0001784,0.0001784,0.0001784
48,605.136,0.82377,0.92876,1.29843,0.79877,0.54167,0.6118,0.28589,1.83327,2.05691,2.52251,0.0001388,0.0001388,0.0001388
49,617.046,0.84166,0.90879,1.3514,0.79916,0.54167,0.6238,0.30936,1.79722,1.96794,2.50915,9.92e-05,9.92e-05,9.92e-05
50,628.683,0.72803,0.80377,1.22548,0.66259,0.66667,0.62608,0.31668,1.74334,1.92357,2.44518,5.96e-05,5.96e-05,5.96e-05
