epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,202.451,1.1315,2.47757,1.30206,0.00915,0.65451,0.54194,0.35253,0.92785,3.09177,1.26339,0.00044299,0.00044299,0.00044299
2,475.049,1.29963,2.0498,1.44147,0.79564,0.44221,0.48811,0.29668,1.18991,2.66581,1.54621,0.000882445,0.000882445,0.000882445
3,5290.24,1.39002,2.01199,1.48133,0.55504,0.47866,0.38502,0.18314,1.61381,5.05254,2.25347,0.00130379,0.00130379,0.00130379
4,5477.54,1.39682,1.96258,1.50325,0.80555,0.43385,0.48528,0.24171,1.52994,2.88001,1.88669,0.00134412,0.00134412,0.00134412
5,5665.98,1.41055,1.93293,1.51061,0.71419,0.37847,0.37099,0.20122,1.80969,2.9458,2.16571,0.00131582,0.00131582,0.00131582
6,5863.2,1.44446,1.89671,1.54482,0.72914,0.37004,0.41243,0.23035,1.37348,1.96669,1.71947,0.00128753,0.00128753,0.00128753
7,6057.9,1.37642,1.8405,1.48467,0.82439,0.38328,0.40252,0.24252,1.45597,2.43093,1.78604,0.00125923,0.00125923,0.00125923
8,6252.7,1.33865,1.71617,1.47451,0.71836,0.49358,0.50389,0.28564,1.44577,2.43772,1.69218,0.00123094,0.00123094,0.00123094
9,6447.33,1.31553,1.60581,1.42769,0.79016,0.5005,0.52598,0.30605,1.3976,1.79557,1.6848,0.00120265,0.00120265,0.00120265
10,6640.79,1.36192,1.6974,1.49695,0.82102,0.50532,0.53717,0.33017,1.26654,1.8028,1.59333,0.00117435,0.00117435,0.00117435
11,6840.95,1.30325,1.51593,1.43498,0.8814,0.4747,0.50965,0.298,1.33485,1.70594,1.57259,0.00114606,0.00114606,0.00114606
12,7041.56,1.26596,1.48079,1.3979,0.82754,0.51938,0.52101,0.28026,1.40444,1.6671,1.65129,0.00111776,0.00111776,0.00111776
13,7243.17,1.26578,1.48044,1.40707,0.84599,0.48565,0.51729,0.31646,1.21498,1.34211,1.5397,0.00108947,0.00108947,0.00108947
14,7444.46,1.22931,1.42281,1.39229,0.82865,0.48949,0.53345,0.33668,1.16383,1.41754,1.48422,0.00106118,0.00106118,0.00106118
15,7636.5,1.27971,1.48268,1.42792,0.8123,0.45191,0.48013,0.28603,1.25582,1.33536,1.59256,0.00103288,0.00103288,0.00103288
16,7829.36,1.22479,1.35695,1.36902,0.83935,0.52006,0.5297,0.33408,1.21867,1.31492,1.5519,0.00100459,0.00100459,0.00100459
